,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
67,7.0,3122.0,0.016011665,5.0,1.0,0.0,4.8886780516114e-08,-47.98994,-50.35688,-59.74382,6.0,4.0,3197.927
68,7.0,3122.0,0.016011665,6.0,1.0,0.0,4.8886780516114e-08,-47.98994,-50.35688,-59.74382,6.0,1.0,8647.508
69,7.0,3122.0,0.016011665,7.0,3.0,0.0,3.59768903453e-06,-276.1311,-159.8271,-384.9765,6.0,0.0,0.0
70,7.0,3122.0,0.016011665,8.0,4.0,0.0,4.9022940170381e-08,-48.34555,-53.18116,-62.66946,1.0,3.0,8.870607
71,7.0,3122.0,0.016011665,9.0,4.0,0.0,4.9683284767736e-08,-51.97637,-66.99124,-76.38097,1.0,3.0,687.6883
72,8.0,3858.0,0.019780211,1.0,0.0,0.0,0.0,4.960895,24.95176,250.0,0.0,6.0,22000.0
73,8.0,3858.0,0.019780211,2.0,1.0,0.0,4.7558204448075e-08,4.960895,24.95176,-53.23087,6.0,13027.0,1834.569
74,8.0,3858.0,0.019780211,3.0,1.0,2.9,4.8197284720894e-08,4.759613,21.09496,-52.64174,6.0,53125.0,215.192
75,8.0,3858.0,0.019780211,4.0,1.0,2.9,4.8197284720894e-08,4.759613,21.09496,-52.64174,6.0,6.0,122.1127
76,8.0,3858.0,0.019780211,5.0,1.0,2.9,4.8197284720894e-08,4.759613,21.09496,-52.64174,6.0,1.0,157.6027
77,8.0,3858.0,0.019780211,6.0,1.0,2.9,4.8197284720894e-08,4.759613,21.09496,-52.64174,6.0,1.0,766.5675
78,8.0,3858.0,0.019780211,7.0,1.0,2.9,4.8197284720894e-08,4.759613,21.09496,-52.64174,6.0,6.0,976.9299
79,8.0,3858.0,0.019780211,8.0,1.0,2.9,4.8197284720894e-08,4.759613,21.09496,-52.64174,6.0,6.0,1607.335
80,8.0,3858.0,0.019780211,9.0,4.0,0.0,0.00038674622701175,-9.802812,27.83657,-41.54996,6.0,13028.0,0.08109104
81,9.0,3904.0,0.020044271,1.0,0.0,0.0,0.0,-53.38004,9.515703,250.0,0.0,6.0,22000.0
82,9.0,3904.0,0.020044271,2.0,1.0,0.0,2.4057513335662e-08,-53.38004,9.515703,96.60942,6.0,11023.0,167.033
83,9.0,3904.0,0.020044271,3.0,1.0,0.0,2.4057513335662e-08,-53.38004,9.515703,96.60942,6.0,21.0,10180.59
84,9.0,3904.0,0.020044271,4.0,1.0,0.0,2.4057513335662e-08,-53.38004,9.515703,96.60942,6.0,1.0,48.17657
85,9.0,3904.0,0.020044271,5.0,1.0,0.0,2.4057513335662e-08,-53.38004,9.515703,96.60942,6.0,1.0,118.1954
86,9.0,3904.0,0.020044271,6.0,1.0,0.0,2.4057513335662e-08,-53.38004,9.515703,96.60942,6.0,6.0,469.8868
87,9.0,3904.0,0.020044271,7.0,1.0,0.0,2.4057513335662e-08,-53.38004,9.515703,96.60942,6.0,1.0,920.6532
88,9.0,3904.0,0.020044271,8.0,6.0,3.2,1.5804727794916e-07,51.35449,45.26688,61.21511,6.0,4.0,215.8524
89,9.0,3904.0,0.020044271,9.0,6.0,3.2,1.5951328717075e-07,51.66977,45.89853,61.00892,6.0,4.0,154.3757
90,10.0,4507.0,0.023196643,1.0,0.0,0.0,0.0,-35.51891,-2.782017,250.0,0.0,6.0,22000.0
91,10.0,4507.0,0.023196643,2.0,1.0,0.0,1.8372399870161e-08,-35.51891,-2.782017,132.8577,6.0,4.0,5841.814
92,10.0,4507.0,0.023196643,3.0,1.0,1.2,2.4118660626137e-08,-39.49915,12.89388,105.7773,6.0,1.0,1.494086
93,10.0,4507.0,0.023196643,4.0,1.0,1.2,2.4118660626137e-08,-39.49915,12.89388,105.7773,6.0,1.0,4398.723
94,10.0,4507.0,0.023196643,5.0,1.0,1.2,2.4118660626137e-08,-39.49915,12.89388,105.7773,6.0,6012.0,848.8618
95,10.0,4507.0,0.023196643,6.0,1.0,1.2,2.4118660626137e-08,-39.49915,12.89388,105.7773,6.0,6.0,10908.87
96,10.0,4507.0,0.023196643,7.0,6.0,0.0,2.758969168837e-08,-50.77152,22.87006,101.2469,6.0,6012.0,2299.283
97,10.0,4507.0,0.023196643,8.0,6.0,0.0,1.2790345838437e-07,-116.7941,-138.9416,465.891,6.0,0.0,0.0
98,10.0,4507.0,0.023196643,9.0,3.0,1.2,2.4118720319277e-08,-39.4994,12.89533,105.7763,1.0,3.0,1.203076
99,11.0,4648.0,0.023895233,1.0,0.0,0.0,0.0,0.5108416,31.77944,250.0,0.0,6.0,22000.0
100,11.0,4648.0,0.023895233,2.0,1.0,3.3,4.7442747658933e-08,0.5108416,31.77944,-52.49472,6.0,53126.0,169.4412
101,11.0,4648.0,0.023895233,3.0,1.0,3.3,4.7442747658933e-08,0.5108416,31.77944,-52.49472,6.0,6.0,22.06468
102,11.0,4648.0,0.023895233,4.0,1.0,3.3,4.7442747658933e-08,0.5108416,31.77944,-52.49472,6.0,1.0,310.9107
103,11.0,4648.0,0.023895233,5.0,1.0,3.3,4.7442747658933e-08,0.5108416,31.77944,-52.49472,6.0,1.0,3112.98
104,11.0,4648.0,0.023895233,6.0,1.0,3.3,4.7442747658933e-08,0.5108416,31.77944,-52.49472,6.0,6.0,9197.755
